MHG,MAG,LMV,LMD,LWS,LUBS,LLS,LWLSS,AggregatedAttendance
0.100755668,-0.306624355,-0.073907285,0.114795918,-0.302844988,-0.434670116,0.041302621,0.075692308,-0.08496032
0.926322418,-0.653312178,0.620662252,-0.163903061,-0.535229992,-0.208538163,0.735504369,0.792820513,-0.178049278
0.100755668,-0.653312178,-0.073907285,0.393494898,-0.535229992,-0.547736093,0.388403495,0.43425641,-0.154829106
-0.449622166,0.386751289,-0.073907285,0.393494898,-0.302844988,-0.095472186,0.041302621,-0.282871795,-0.33228228
-0.449622166,0.386751289,-0.073907285,-0.163903061,-0.070459984,-0.434670116,0.388403495,0.254974359,-0.468436729
-0.449622166,0.040063467,-0.305430464,-0.163903061,0.16192502,0.01759379,-0.305798253,0.43425641,-0.372118851
-0.449622166,0.040063467,-0.305430464,0.114795918,0.394310024,0.01759379,0.388403495,0.254974359,-0.377477243
-0.174433249,0.040063467,-0.073907285,-0.442602041,-0.070459984,-0.434670116,-0.305798253,0.254974359,-0.479555889
0.100755668,0.386751289,-0.073907285,-0.163903061,0.394310024,0.130659767,-0.652899126,-0.462153846,-0.17883986
-0.174433249,-0.306624355,-0.305430464,-0.163903061,0.626695028,-0.208538163,-0.305798253,-0.462153846,-0.107830538
-0.174433249,1.080126934,0.389139073,-0.163903061,-0.302844988,-0.434670116,0.388403495,0.254974359,-0.239010552
0.100755668,-1,-0.073907285,0.672193878,-0.302844988,-0.32160414,-0.305798253,-0.103589744,-0.111512839
-0.724811083,-0.653312178,-0.536953642,0.672193878,-0.535229992,-0.434670116,0.041302621,0.792820513,-9.74E-05
0.375944584,0.040063467,0.157615894,-0.163903061,-0.302844988,-0.434670116,-0.652899126,0.43425641,0.079802447
0.375944584,-0.653312178,0.157615894,-0.163903061,-0.302844988,-0.208538163,0.041302621,-0.462153846,0.140716967
0.100755668,-0.306624355,-0.073907285,-0.163903061,-0.070459984,0.01759379,0.041302621,0.075692308,-0.023114953
-0.449622166,0.040063467,-0.305430464,0.672193878,-0.070459984,-0.547736093,1.082605242,1.151384615,0.07100828
-0.174433249,0.733439111,0.157615894,0.114795918,-0.302844988,-0.434670116,0.041302621,-0.103589744,0.056631864
-0.174433249,0.040063467,-0.305430464,-0.163903061,-0.302844988,-0.208538163,0.388403495,0.075692308,0.024199565
-0.449622166,-1,-0.305430464,0.114795918,-0.535229992,-0.66080207,1.082605242,0.254974359,-0.022364041
0.100755668,-0.306624355,-0.073907285,0.393494898,-0.302844988,-0.547736093,0.735504369,0.792820513,0.13617466
0.651133501,0.386751289,0.389139073,0.114795918,0.16192502,0.356791721,-0.305798253,-0.641435897,0.084993655
-0.174433249,-0.653312178,-0.305430464,0.114795918,-0.535229992,-0.434670116,-0.305798253,0.075692308,0.043605672
-0.724811083,0.040063467,-0.305430464,0.672193878,-0.070459984,-0.434670116,0.388403495,0.075692308,0.000528846
-0.449622166,-0.306624355,-0.305430464,0.114795918,-0.302844988,-0.32160414,0.041302621,0.43425641,0.015548496
-0.174433249,0.386751289,-0.073907285,-0.163903061,-0.070459984,0.01759379,-0.305798253,-0.103589744,0.229296205
-0.174433249,0.040063467,-0.305430464,0.393494898,-0.302844988,-0.547736093,0.388403495,0.075692308,0.570110915
-0.724811083,-0.653312178,-0.536953642,0.672193878,-0.535229992,-0.547736093,1.429706116,1.330666667,-0.422431348
0.100755668,-0.306624355,-0.073907285,0.393494898,0.16192502,0.922121604,-0.305798253,-0.462153846,-0.010817004
0.100755668,-1,-0.073907285,0.393494898,-0.535229992,-0.547736093,0.735504369,1.151384615,-0.099947383
-0.724811083,-0.653312178,-0.305430464,-0.442602041,-0.302844988,-0.095472186,-0.305798253,0.254974359,-0.210270472
-0.449622166,0.040063467,-0.305430464,-0.163903061,-0.302844988,-0.547736093,0.388403495,0.43425641,-0.207959647
-0.449622166,-0.306624355,-0.305430464,-0.163903061,-0.302844988,-0.32160414,0.388403495,0.792820513,-0.174250798
-0.174433249,0.040063467,-0.073907285,-0.163903061,-0.767614996,-0.547736093,0.041302621,0.075692308,-0.233928439
0.100755668,0.386751289,-0.073907285,-0.442602041,0.394310024,0.469857697,-0.652899126,-0.282871795,-0.273726756
0.100755668,-1,-0.073907285,0.114795918,0.16192502,-0.095472186,0.388403495,-0.103589744,-0.16103192
