"League"	"LID"	"CID"	"Club"	"Season"	"MostHomeGoals"	"MostAwayGoals"	"LargestMarginofVictory"	"LargestMarginofDefeat"	"LongestWinningStreak"	"LongestUnbeatenStreak"	"LongestLosingStreak"	"LongestWinlessStreak"	"LargestAttendance"	"LowestAttendance"	"AverageAttendance"	"AggregatedAttendance"
"165"	"La_Liga"	15	85	"Celta_Vigo"	2016	4	3	3	5	3	4	6	6	21024	11526	16649	316340
"166"	"La_Liga"	15	93	"Athletic_Bilbao"	2000	4	2	4	7	2	2	1	4	NA	NA	NA	NA
"167"	"La_Liga"	15	93	"Athletic_Bilbao"	2001	3	3	2	5	2	11	3	6	40000	28000	33722	607000
"168"	"La_Liga"	15	93	"Athletic_Bilbao"	2002	4	5	4	4	2	11	3	4	42000	20000	34823	592000
"169"	"La_Liga"	15	93	"Athletic_Bilbao"	2003	4	3	4	3	3	7	2	4	41000	25000	32941	560000
"170"	"La_Liga"	15	93	"Athletic_Bilbao"	2004	4	3	4	2	3	10	3	4	39000	30000	33461	435000
"171"	"La_Liga"	15	93	"Athletic_Bilbao"	2005	3	3	3	3	3	4	4	11	NA	NA	NA	NA
"172"	"La_Liga"	15	93	"Athletic_Bilbao"	2006	4	4	2	3	2	4	3	7	NA	NA	NA	NA
"173"	"La_Liga"	15	93	"Athletic_Bilbao"	2007	5	3	4	3	3	6	2	4	40000	30500	36214	253500
"174"	"La_Liga"	15	93	"Athletic_Bilbao"	2008	3	3	3	4	2	7	5	7	40000	15000	34263	651000
"175"	"La_Liga"	15	93	"Athletic_Bilbao"	2009	4	4	3	4	3	4	2	6	40000	24500	33473	636000
"176"	"La_Liga"	15	93	"Athletic_Bilbao"	2010	3	3	3	4	4	5	4	4	40000	26000	35815	680500
"177"	"La_Liga"	15	93	"Athletic_Bilbao"	2011	3	3	3	3	2	14	3	5	39500	32000	37638	677500
"178"	"La_Liga"	15	93	"Athletic_Bilbao"	2012	3	3	3	4	2	5	3	4	40000	29200	36826	699700
"179"	"La_Liga"	15	93	"Athletic_Bilbao"	2013	6	5	5	2	3	5	1	3	47000	20000	31701	602330
"180"	"La_Liga"	15	93	"Athletic_Bilbao"	2014	4	3	4	5	5	7	4	6	52600	28000	40080	761534
"181"	"La_Liga"	15	93	"Athletic_Bilbao"	2015	5	3	3	6	4	6	2	3	47785	37552	41968	797392
"182"	"La_Liga"	15	93	"Athletic_Bilbao"	2016	5	3	4	3	4	5	2	3	49164	33438	41073	780393
"183"	"La_Liga"	15	94	"Valencia"	2000	5	2	4	2	3	8	5	5	NA	NA	NA	NA
"184"	"La_Liga"	15	94	"Valencia"	2001	4	3	4	2	4	11	2	5	53500	40000	46718	747500
"185"	"La_Liga"	15	94	"Valencia"	2002	5	4	4	3	3	7	2	5	53500	30000	46289	879500
"186"	"La_Liga"	15	94	"Valencia"	2003	5	6	5	1	6	10	2	3	53000	35000	45335	770700
"187"	"La_Liga"	15	94	"Valencia"	2004	3	5	4	2	4	8	2	6	52000	4000	38583	463000
