"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[493]",0.268919840363636,0.2687665,0.270519883881792,11000,0.95,0.23642,0.302249,NA,NA,NA,NA,NA,NA,NA
"theta[494]",0.193717771463636,0.1909065,0.189191881015285,7414.4,0.95,0.130576,0.263552,NA,NA,NA,NA,NA,NA,NA
"theta[495]",0.124743796490909,0.123025,0.118319981638136,10260.9,0.95,0.0644971,0.189201,NA,NA,NA,NA,NA,NA,NA
"theta[496]",0.129495242436364,0.1267325,0.122759644917338,9906.8,0.95,0.0646279,0.201156,NA,NA,NA,NA,NA,NA,NA
"theta[497]",0.260444824636364,0.2600625,0.258795855996478,11000,0.95,0.22885,0.29062,NA,NA,NA,NA,NA,NA,NA
"theta[498]",0.140262659454545,0.138587,0.136980855459397,9958.5,0.95,0.0872884,0.194524,NA,NA,NA,NA,NA,NA,NA
"theta[499]",0.273252661727273,0.2727195,0.269539917722643,11000,0.95,0.231818,0.313844,NA,NA,NA,NA,NA,NA,NA
"theta[500]",0.244555582454545,0.2433945,0.240951320694176,10536.2,0.95,0.182316,0.3058,NA,NA,NA,NA,NA,NA,NA
"theta[501]",0.129397546754545,0.1269825,0.124410660423398,10585.5,0.95,0.0628673,0.199116,NA,NA,NA,NA,NA,NA,NA
"theta[502]",0.238629665727273,0.237574,0.237074003930311,11859.8,0.95,0.174295,0.303003,NA,NA,NA,NA,NA,NA,NA
"theta[503]",0.123626055027273,0.120976,0.115534965075033,10385,0.95,0.0610937,0.191701,NA,NA,NA,NA,NA,NA,NA
"theta[504]",0.146145898054545,0.14278,0.142349509370573,11000,0.95,0.0775761,0.221168,NA,NA,NA,NA,NA,NA,NA
"theta[505]",0.242252159272727,0.24189,0.241732827950253,11000,0.95,0.184345,0.29706,NA,NA,NA,NA,NA,NA,NA
"theta[506]",0.245467380272727,0.245214,0.244928907424469,9846.3,0.95,0.198509,0.29421,NA,NA,NA,NA,NA,NA,NA
"theta[507]",0.227147275454545,0.227042,0.224517091383449,10654.8,0.95,0.187338,0.269476,NA,NA,NA,NA,NA,NA,NA
"theta[508]",0.121477452436364,0.119842,0.117531824198427,10749.6,0.95,0.063161,0.185525,NA,NA,NA,NA,NA,NA,NA
"theta[509]",0.260166342454545,0.2597625,0.257829091719972,11000,0.95,0.213635,0.305363,NA,NA,NA,NA,NA,NA,NA
"theta[510]",0.116827842218182,0.115406,0.110259556131701,11000,0.95,0.0646454,0.17221,NA,NA,NA,NA,NA,NA,NA
"theta[511]",0.136868674972727,0.134504,0.131279159450087,10200.8,0.95,0.0726367,0.204701,NA,NA,NA,NA,NA,NA,NA
"theta[512]",0.254993777,0.2544385,0.252658894578468,11000,0.95,0.220272,0.29252,NA,NA,NA,NA,NA,NA,NA
"theta[513]",0.125974985227273,0.1237205,0.122361650504687,11078.5,0.95,0.0613103,0.193701,NA,NA,NA,NA,NA,NA,NA
"theta[514]",0.230774323363636,0.230362,0.229190855390789,10350,0.95,0.186226,0.277934,NA,NA,NA,NA,NA,NA,NA
"theta[515]",0.125904799672727,0.124138,0.122517257721802,11000,0.95,0.0607726,0.188817,NA,NA,NA,NA,NA,NA,NA
"theta[516]",0.115275191390909,0.114128,0.108060113146358,9886.6,0.95,0.0654752,0.165234,NA,NA,NA,NA,NA,NA,NA
"theta[517]",0.264561748909091,0.2641445,0.262447375690784,10420.5,0.95,0.230039,0.299167,NA,NA,NA,NA,NA,NA,NA
"theta[518]",0.250602370909091,0.250272,0.24738573580196,11000,0.95,0.217026,0.283209,NA,NA,NA,NA,NA,NA,NA
"theta[519]",0.275781424454545,0.275357,0.274835401089088,11000,0.95,0.236182,0.318005,NA,NA,NA,NA,NA,NA,NA
"theta[520]",0.251312279363636,0.25094,0.249619409426408,11000,0.95,0.210485,0.290802,NA,NA,NA,NA,NA,NA,NA
"theta[521]",0.254340232727273,0.2540205,0.253831331147395,11000,0.95,0.204033,0.306318,NA,NA,NA,NA,NA,NA,NA
"theta[522]",0.128320497918182,0.125555,0.123083991028612,10692.8,0.95,0.0638326,0.199196,NA,NA,NA,NA,NA,NA,NA
"theta[523]",0.128351725127273,0.125545,0.122434751903463,11000,0.95,0.0644217,0.200572,NA,NA,NA,NA,NA,NA,NA
"theta[524]",0.145748259172727,0.1428275,0.140663697585574,10157.5,0.95,0.0759158,0.220556,NA,NA,NA,NA,NA,NA,NA
"theta[525]",0.246093564545455,0.245776,0.241784625461722,11000,0.95,0.212906,0.283624,NA,NA,NA,NA,NA,NA,NA
"theta[526]",0.292140099272727,0.291551,0.289334301953178,11000,0.95,0.252382,0.334736,NA,NA,NA,NA,NA,NA,NA
"theta[527]",0.267124490818182,0.266742,0.264776388285599,11665.3,0.95,0.232139,0.30153,NA,NA,NA,NA,NA,NA,NA
"theta[528]",0.116498335881818,0.114381,0.111741333400241,10242.4,0.95,0.0562139,0.180831,NA,NA,NA,NA,NA,NA,NA
"theta[529]",0.247927320727273,0.2473945,0.247634538689907,11000,0.95,0.199808,0.300361,NA,NA,NA,NA,NA,NA,NA
"theta[530]",0.246102164,0.245618,0.242209934144648,11000,0.95,0.190434,0.301718,NA,NA,NA,NA,NA,NA,NA
"theta[531]",0.138421399609091,0.1362135,0.129030301654724,11000,0.95,0.0809732,0.197832,NA,NA,NA,NA,NA,NA,NA
"theta[532]",0.106277666754545,0.104937,0.101880287286289,10464.3,0.95,0.0580182,0.159811,NA,NA,NA,NA,NA,NA,NA
"theta[533]",0.259267587181818,0.258885,0.258440592060136,11276.3,0.95,0.215838,0.303404,NA,NA,NA,NA,NA,NA,NA
"theta[534]",0.103769407109091,0.102528,0.101856283688377,9100.5,0.95,0.0558046,0.151628,NA,NA,NA,NA,NA,NA,NA
"theta[535]",0.249215756181818,0.248653,0.253006611229978,11329.6,0.95,0.19507,0.309709,NA,NA,NA,NA,NA,NA,NA
"theta[536]",0.239641139636364,0.239876,0.239231085338506,11000,0.95,0.187797,0.289532,NA,NA,NA,NA,NA,NA,NA
"theta[537]",0.127706418890909,0.1252855,0.120410205572631,11000,0.95,0.0629905,0.196011,NA,NA,NA,NA,NA,NA,NA
"theta[538]",0.227449427727273,0.2265475,0.219047459673994,11000,0.95,0.163676,0.29203,NA,NA,NA,NA,NA,NA,NA
"theta[539]",0.255775781454545,0.255381,0.25677796741084,11000,0.95,0.213511,0.298739,NA,NA,NA,NA,NA,NA,NA
"theta[540]",0.122967691790909,0.1216555,0.119987697989513,11000,0.95,0.0685744,0.180083,NA,NA,NA,NA,NA,NA,NA
"theta[541]",0.279866141727273,0.2795385,0.278386046663104,11000,0.95,0.248688,0.312737,NA,NA,NA,NA,NA,NA,NA
"theta[542]",0.168045620590909,0.1650335,0.156178899340868,9004.7,0.95,0.103641,0.239322,NA,NA,NA,NA,NA,NA,NA
"theta[543]",0.232306906636364,0.2319675,0.227917113214979,11000,0.95,0.189779,0.27806,NA,NA,NA,NA,NA,NA,NA
"theta[544]",0.128403348036364,0.125533,0.120284885434841,10503,0.95,0.0624184,0.197063,NA,NA,NA,NA,NA,NA,NA
"theta[545]",0.253901262545455,0.253527,0.252549018202991,11015.6,0.95,0.210807,0.299764,NA,NA,NA,NA,NA,NA,NA
"theta[546]",0.244072366090909,0.2437945,0.242312847100702,11787.2,0.95,0.189819,0.294657,NA,NA,NA,NA,NA,NA,NA
"theta[547]",0.219231467636364,0.2189265,0.217428432937032,11000,0.95,0.186218,0.25354,NA,NA,NA,NA,NA,NA,NA
"theta[548]",0.1266075515,0.124098,0.11867124383772,10287.8,0.95,0.0646481,0.197558,NA,NA,NA,NA,NA,NA,NA
"theta[549]",0.246535038909091,0.2462645,0.247182979593185,11000,0.95,0.201049,0.295315,NA,NA,NA,NA,NA,NA,NA
"theta[550]",0.244070707090909,0.243801,0.24032734079274,11000,0.95,0.21035,0.279885,NA,NA,NA,NA,NA,NA,NA
"theta[551]",0.227562353090909,0.2269385,0.22598305136967,11000,0.95,0.162197,0.287101,NA,NA,NA,NA,NA,NA,NA
"theta[552]",0.225831987181818,0.2257405,0.22552601605662,11000,0.95,0.180383,0.270781,NA,NA,NA,NA,NA,NA,NA
"theta[553]",0.127402424118182,0.125092,0.121656508630829,10578.4,0.95,0.0617246,0.196147,NA,NA,NA,NA,NA,NA,NA
"theta[554]",0.257529913181818,0.2571965,0.254602865318475,11000,0.95,0.219296,0.294537,NA,NA,NA,NA,NA,NA,NA
"theta[555]",0.233943709727273,0.233568,0.231242810868938,11000,0.95,0.193083,0.272145,NA,NA,NA,NA,NA,NA,NA
"theta[556]",0.227703052727273,0.2273055,0.225997348006019,11000,0.95,0.185628,0.271714,NA,NA,NA,NA,NA,NA,NA
"theta[557]",0.218487811,0.218574,0.218591926064586,11271.2,0.95,0.168944,0.265029,NA,NA,NA,NA,NA,NA,NA
"theta[558]",0.127343534690909,0.1245125,0.121026470362837,10752.5,0.95,0.0650318,0.200847,NA,NA,NA,NA,NA,NA,NA
"theta[559]",0.1290777814,0.1267975,0.126805157908684,11000,0.95,0.0625623,0.19846,NA,NA,NA,NA,NA,NA,NA
"theta[560]",0.244639620727273,0.244159,0.243341694306429,11000,0.95,0.185187,0.302578,NA,NA,NA,NA,NA,NA,NA
"theta[561]",0.135404898245455,0.132841,0.130258733006341,10567.9,0.95,0.0693075,0.204988,NA,NA,NA,NA,NA,NA,NA
"theta[562]",0.300374909272727,0.300097,0.29962171095256,11000,0.95,0.266151,0.335364,NA,NA,NA,NA,NA,NA,NA
"theta[563]",0.241394198363636,0.2414785,0.24011556323411,11000,0.95,0.205758,0.278314,NA,NA,NA,NA,NA,NA,NA
"theta[564]",0.246795450636364,0.246491,0.247786937047543,11545.7,0.95,0.214443,0.279665,NA,NA,NA,NA,NA,NA,NA
"theta[565]",0.247561712545455,0.2474985,0.247980896120347,11000,0.95,0.217948,0.280294,NA,NA,NA,NA,NA,NA,NA
"theta[566]",0.249254611181818,0.2485995,0.247911304209719,10667.8,0.95,0.19659,0.29878,NA,NA,NA,NA,NA,NA,NA
